id,name,deck,first_appeared_in_game,site_detail_url,games,friends,enemies,locations,concepts,objects
14458,Brad,The main character of Curse of Enchantia.,Curse of Enchantia,https://www.giantbomb.com/brad/3005-14458/,Curse of Enchantia,,The Evil Witch,,Another World; Escaping Imprisonment; Live Burial; Male Protagonists; Reluctant Hero; Waking Up Captured; Young Protagonist,Electric Fan
16943,Brad,The egocentric bro-ey antagonist to Captain Smiley. ,Comic Jumper,https://www.giantbomb.com/brad/3005-16943/,Comic Jumper,,Captain Smiley; Star,Hent High,,
24865,Brad Baker,A firefighter who helps maintain the city away from fire.,SimCity Social,https://www.giantbomb.com/brad-baker/3005-24865/,SimCity Social,Chase Benjamin; Dean Martin; Mike Carter,,Fire Station,Firefighter,Fire Axe; Fire Extinguisher; Necklace
54614,Brad Burb,"Tired of the hectic pace of the city, Brad packed up the family and set out in search for peace and quiet. His interests include weeding, watering, and soup. ",The Sims,https://www.giantbomb.com/brad-burb/3005-54614/,The Sims 2; The Sims: Unleashed; The Sims,Benjamin Burb; John Burb; Susan Burb; Tiffany Burb,,,,
463,Brad Burns,Brad Burns is a character in the Virtua Fighter series. He uses the Muay Thai Kickboxing fighting style.,Virtua Fighter 4: Evolution,https://www.giantbomb.com/brad-burns/3005-463/,Virtua Fighter 5 Ultimate Showdown; Virtua Fighter 5 Final Showdown; Virtua Fighter 5 R; Virtua Fighter 5; Virtua Fighter 10th Anniversary; Virtua Fighter 4: Evolution,Akira Yuki; Aoi Umenokouji; El Blaze; Jacky Bryant; Jeffry McWild; Kage-Maru; Lau Chan; Lei-Fei; Pai Chan; Shun Di; Vanessa Lewis,Dural,Italy,Combo; Martial Arts; Muay Thai,
45125,Brad Carbunkle,Brad Carbunkle is one of Jenny Wakeman's best friends.,My Life as a Teenage Robot: Hangman,https://www.giantbomb.com/brad-carbunkle/3005-45125/,Nickelodeon Kart Racers 3: Slime Speedway; Nicktoons: Freeze Frame Frenzy; My Life as a Teenage Robot: Techno Tennis; My Life as a Teenage Robot: Hangman,Jenny Wakeman; Mrs. Wakeman; Sheldon Lee; Tuck Carbunkle,Queen Vexus,,,
7022,Brad Daugherty,Brad Daugherty is a retired American basketball player who's currently a Nascar analyst for ESPN.,Tecmo Super NBA Basketball,https://www.giantbomb.com/brad-daugherty/3005-7022/,NBA 2K23; NBA 2K22; NBA 2K20; NBA 2K19; NBA 2K18; NBA 2K16; NBA 2K14; NBA 2K13; NBA 2K11; NBA Action; NBA Action '95 starring David Robinson; NBA Live 95; NBA Jam Tournament Edition; NBA Showdown; NBA Jam; NBA All-Star Challenge; Tecmo Super NBA Basketball,,Michael Jordan,Cleveland,Licensed Game; National Basketball Association,Basketball; Sports Jersey
27666,Brad Fang,One of the Playable characters from Contra Hard Corps. He's a Cyborg Werewolf that was designed to be the Ultimate fighter.,Contra: Hard Corps,https://www.giantbomb.com/brad-fang/3005-27666/,Contra: Operation Galuga; Vampire Survivors; Contra Anniversary Collection; Contra Returns; Contra: Hard Corps,Ariana; M4D-0G; SC0RP1; Stanley Ironside,Big Fuzz; Yokozuna,,Animal Cyborgs; Arm Cannon; Cyborg; Werewolf,
9765,Brad Garrison,Brad Garrison is a DHS agent partnered with Jessica McCarney. He is voiced by T.J. Storm.,Dead Rising,https://www.giantbomb.com/brad-garrison/3005-9765/,Dead Rising; Dead Rising: Chop Till You Drop; Dead Rising,Frank West; Isabela Keyes; Jessica McCarney; Otis,Carlito Keyes,The United States of America; Willamette Mall,Agents; Undead; United States Department of Homeland Security; Zombie,Pistol
20130,Brad Keselowski,"Brad Keselowski is a driver in NASCAR, taking the Championship in 2012.  He drives the #2 Miller Lite Ford for Penske Racing.",NASCAR 2011: The Game,https://www.giantbomb.com/brad-keselowski/3005-20130/,NASCAR The Game: 2013; NASCAR The Game: Inside Line; NASCAR 2011: The Game,"Carl Edwards; Dale Earnhardt; Dale Earnhardt, Jr; Danica Patrick; Jamie McMurray; Jeff Gordon; Kasey Kahne; Kurt Busch; Mark Martin; Matt Kenseth; Tony Stewart",Kyle Busch,Daytona International Speedway; Indianapolis Motor Speedway,,Race Car
6870,Brad Majors,"The newlywed groom who, on a dark and stormy night,  finds himself, along with his wife Janet, at a castle that just happens to be hosting an Annual Transylvanian Convention. Lots of bizarreness follows.",The Rocky Horror Show,https://www.giantbomb.com/brad-majors/3005-6870/,The Rocky Horror Show Video Game; Rocky Interactive Horror Show; The Rocky Horror Show,Janet Weiss,,,Games Based on Movies; Licensed Game,Glasses
